,Model,Country,Forecasted Sales,Model By Country
0,Alto,India,360.3974704435634,Alto (India)
19,Tiago,India,264.1139569634004,Tiago (India)
3,Brezza,India,260.0626076949809,Brezza (India)
13,Nexon,India,254.16079246738397,Nexon (India)
17,Swift,India,251.76716539780816,Swift (India)
21,WagonR,India,234.4438387328535,WagonR (India)
5,Creta,India,231.28505974975894,Creta (India)
22,XUV500,India,193.33332269573748,XUV500 (India)
23,i10,India,183.93985928572755,i10 (India)
16,Scorpio,India,164.28281195813506,Scorpio (India)
