,Price Range,State,Forecasted Sales
0,5L-10L,Andhra Pradesh,65.62131158898156
1,2L-5L,Andhra Pradesh,33.53992332347914
2,10L+,Andhra Pradesh,27.840938994231706
3,10L+,Arunachal Pradesh,60.17051097572316
4,5L-10L,Arunachal Pradesh,39.047821322588
5,2L-5L,Arunachal Pradesh,24.368540848684624
6,10L+,Assam,51.252346405581676
7,5L-10L,Assam,33.829666086230354
8,2L-5L,Assam,30.305557191581208
9,5L-10L,Bihar,64.249441848679
10,10L+,Bihar,54.648717994205654
11,2L-5L,Bihar,30.632294141529343
12,10L+,Chhattisgarh,63.25686107799083
13,5L-10L,Chhattisgarh,55.63770395218847
14,2L-5L,Chhattisgarh,35.26315486153062
15,5L-10L,Goa,93.67435639331524
16,10L+,Goa,65.97278979093164
17,2L-5L,Goa,29.791263904899512
18,10L+,Gujarat,57.874050028909565
19,5L-10L,Gujarat,51.105852731119825
20,2L-5L,Gujarat,34.16845827234754
21,5L-10L,Haryana,65.76146822112145
22,10L+,Haryana,12.305514211299123
23,0-2L,Haryana,8.365884065427979
24,10L+,Himachal Pradesh,76.53028422322109
25,5L-10L,Himachal Pradesh,63.29418661536694
26,2L-5L,Himachal Pradesh,32.03011216841726
27,5L-10L,Jharkhand,58.71395059311149
28,10L+,Jharkhand,49.436876096204294
29,2L-5L,Jharkhand,30.290700873319715
30,5L-10L,Karnataka,99.23121570207128
31,10L+,Karnataka,66.22729369055628
32,2L-5L,Karnataka,17.545843120224095
33,10L+,Kerala,42.66613895090407
34,2L-5L,Kerala,42.300620440770636
35,0-2L,Kerala,6.164575531626145
36,5L-10L,Madhya Pradesh,46.1604310956932
37,10L+,Madhya Pradesh,45.589143205194524
38,2L-5L,Madhya Pradesh,15.754670097315337
39,5L-10L,Maharashtra,77.85253601886428
40,10L+,Maharashtra,52.13318532099584
41,2L-5L,Maharashtra,20.291946773034837
42,10L+,Manipur,84.12255329018784
43,5L-10L,Manipur,69.74500690198528
44,2L-5L,Manipur,24.03132195327099
45,5L-10L,Meghalaya,90.15510566241653
46,10L+,Meghalaya,86.33843535583259
47,2L-5L,Meghalaya,28.653172444092252
48,5L-10L,Mizoram,66.36642773516753
49,2L-5L,Mizoram,44.1667463735228
50,10L+,Mizoram,19.9536565256223
51,5L-10L,Nagaland,48.85087794253728
52,2L-5L,Nagaland,35.391719657957495
53,10L+,Nagaland,29.589479589946826
54,5L-10L,Odisha,64.72025648444503
55,2L-5L,Odisha,54.61958539748081
56,10L+,Odisha,53.077765684990354
57,5L-10L,Punjab,35.646474731150555
58,2L-5L,Punjab,34.78240426708222
59,10L+,Punjab,28.631741384319547
60,10L+,Rajasthan,88.3545831184336
61,5L-10L,Rajasthan,83.19129183202372
62,2L-5L,Rajasthan,21.073120406939463
63,5L-10L,Sikkim,59.110532119031355
64,10L+,Sikkim,56.86228118145613
65,0-2L,Sikkim,15.55753838011247
66,5L-10L,Tamil Nadu,78.22851910262149
67,10L+,Tamil Nadu,58.81175627985406
68,2L-5L,Tamil Nadu,46.178087517307574
69,10L+,Telangana,70.82915326843184
70,5L-10L,Telangana,50.86033574032991
71,2L-5L,Telangana,33.884447325428795
72,5L-10L,Tripura,78.63594547996772
73,10L+,Tripura,71.06687581127144
74,2L-5L,Tripura,15.841796635479952
75,2L-5L,Uttar Pradesh,77.8772449257893
76,10L+,Uttar Pradesh,50.69800223422419
77,5L-10L,Uttar Pradesh,36.533543800301416
78,10L+,Uttarakhand,86.48211354043872
79,5L-10L,Uttarakhand,63.80481562952124
80,2L-5L,Uttarakhand,50.68801310139528
81,2L-5L,West Bengal,65.08895266223429
82,5L-10L,West Bengal,56.91812230607397
83,10L+,West Bengal,45.3471725301
